Snugg Pro ID,kWh Saved,Mbtu Saved,Annual Fuel Dollars Saved,Annual Electric Dollars Saved,Total Savings,CO2 Tons Diverted,Mbtu Percent,CO 2 Percent,Mirr,SIR,Annual Fuel Therms Saved,Year Built,Conditioned Area (sqft),Front of Building Orientation,Blower Door Reading,Blower Door Reading Improved,HVAC Duct Location,HVAC Duct Leakage Value,HVAC Duct Leakage Value Improved,HVAC Duct Efficiency,HVAC Duct Efficiency Improved,HVAC System Equipment Type,HVAC Heating Energy Source,HVAC Heating Is Condensing
270298,1591.553768,6.96,53,201,253.81,0.610293293,6,7,4,0.9,15.23850266,1998.0,4172.0,East,4081.0,3060.75,70/30 Conditioned Space - Garage (unconditioned),0.0,0.0,96.32,100.0,Furnace with standalone ducts,Propane,Yes
265861,6944.291214,23.7,0,873,873.59,3.566169254,27,27,7,1.3,0.0,1920.0,2400.0,South West,5630.0,4222.5,,,,,0.0,Ductless Heat Pump,Electricity,
255663,1193.380699,5.55,18,150,168.41,0.46549969,12,12,1,0.5,14.73292931,1996.0,1768.0,North East,2012.0,1509.0,50/50 Crawlspace (unconditioned) - Conditioned Space,0.0,0.0,83.01,93.22,Central Heat Pump (shared ducts),Electricity,Yes
264332,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,1920.0,1596.0,South East,2515.0,1886.25,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Natural Gas,
267840,287.6498329,0.99,0,37,36.19,0.14771961,1,1,1,0.6,0.0,1936.0,2304.0,South East,2176.0,1632.0,Attic (unconditioned),0.0,0.0,84.4,84.4,Central Heat Pump (shared ducts),Electricity,
278380,2148.527775,27.65,715,270,984.87,1.946228756,28,24,4,0.8,203.1875778,1976.0,3119.0,South East,3847.0,2885.25,Attic (unconditioned),0.0,0.0,78.35,100.0,Ductless Heat Pump,Electricity,
260038,1595.326499,7.04,20,200,220.5,0.903893915,11,15,10,2.5,15.96197986,1956.0,1504.0,North West,2133.0,1599.75,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,90.21,94.31,Furnace with standalone ducts,Natural Gas,No
257626,35.1222195,1.92,22,4,26.83,0.10715777,4,4,4,0.8,18.0604821,2002.0,1344.0,North West,1900.0,1425.0,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,94.17,94.17,Furnace / Central AC (shared ducts),Natural Gas,Yes
262797,93.46844508,8.71,104,0,104.14,0.475269527,1,1,2,0.5,83.91711587,1959.0,1776.0,North East,2169.0,1626.75,50/50 Attic (unconditioned) - Conditioned Space,0.0,0.0,76.29,85.4,Furnace / Central AC (shared ducts),Natural Gas,Yes
260036,241.2293577,0.33,-6,31,24.22,0.097673691,0,2,3,0.9,-4.942882268,1970.0,960.0,South East,3730.0,2797.5,Intentionally Conditioned Space,0.0,0.0,100.0,100.0,Furnace / Central AC (shared ducts),Natural Gas,Yes
